Jurisdiction,For,Against
Allegany,"16,783","13,625"
Anne Arundel,"216,940","80,683"
Baltimore City,"188,398","29,407"
Baltimore County,"300,431","91,985"
Calvert,"33,783","17,700"
Caroline,"9,300","6,290"
Carroll,"59,926","38,793"
Cecil,"31,251","17,350"
Charles,"69,395","19,671"
Dorchester,"10,718","5,140"
Frederick,"102,787","46,937"
Garrett,"6,773","8,342"
Harford,"97,082","48,465"
Howard,"139,939","36,365"
Kent,"7,773","2,937"
Montgomery,"404,351","86,641"
Prince George's,"335,057","46,419"
Queen Anne's,"19,647","11,322"
Saint Mary's,"35,907","20,362"
Somerset,"5,463","4,027"
Talbot,"14,992","7,199"
Washington,"43,011","25,305"
Wicomico,"29,420","16,042"
Worcester,"20,192","11,212"