Jurisdiction,"Angela Alsobrooks
Democratic","Larry Hogan
Republican","Mike Scott
Libertarian","Patrick J. Burke
(Write In)
Other Candidates","Billy Bridges
(Write In)
Unaffiliated","Irwin William Gibbs
(Write In)
Unaffiliated","Christy Renee Helmondollar
(Write In)
Unaffiliated","Robin Rowe
(Write In)
Unaffiliated",Other Write-Ins
Allegany,"7,396","21,811","2,100",17,1,0,0,0,86
Anne Arundel,"137,645","164,698","7,273",143,6,0,0,1,621
Baltimore City,"183,929","42,088","3,657",35,2,0,0,3,323
Baltimore County,"212,585","188,177","9,366",144,11,1,0,1,838
Calvert,"18,359","33,580","1,691",24,2,0,1,3,95
Caroline,"3,790","11,536",750,11,1,0,0,0,41
Carroll,"26,180","72,049","3,359",78,0,0,0,0,325
Cecil,"13,392","35,557","2,803",9,0,0,0,0,111
Charles,"57,893","31,941","1,795",29,3,0,0,0,129
Dorchester,"5,837","10,113",634,4,0,0,0,0,51
Frederick,"66,280","83,767","4,293",79,0,0,0,2,348
Garrett,"2,423","11,966","1,049",16,0,1,0,1,46
Harford,"48,108","95,455","5,160",26,3,0,0,0,427
Howard,"103,163","75,247","3,003",37,7,0,0,2,333
Kent,"4,340","6,375",314,7,0,0,0,0,19
Montgomery,"340,280","169,303","6,456",97,10,0,0,1,700
Prince George's,"333,021","64,550","4,468",38,13,0,1,2,590
Queen Anne's,"8,204","22,842","1,056",10,3,0,1,0,80
Saint Mary's,"18,426","37,471","2,406",30,2,0,0,0,122
Somerset,"3,368","5,953",553,1,1,0,0,0,76
Talbot,"8,778","13,393",569,5,2,0,0,0,32
Washington,"21,488","46,870","3,456",28,1,0,0,1,149
Wicomico,"17,163","27,244","1,940",9,1,0,0,0,123
Worcester,"8,864","22,358","1,245",2,1,0,0,0,90